,name,link,tel,email,website,addr,rank,ratings,review_num
0,Le 409,http://www.tripadvisor.ca/Restaurant_Review-g155032-d15770990-Reviews-Le_409-Montreal_Quebec.html,+1 514-750-0409,mailto:info@le409.ca,Website,"409 Rue McGill, Montreal, Quebec H2Y 0B5 Canada","#1 of 4,030 Restaurants in Montreal",5.0,88
1,Restaurant Tandem,http://www.tripadvisor.ca/Restaurant_Review-g155032-d2709343-Reviews-Restaurant_Tandem-Montreal_Quebec.html,+1 514-277-3339,mailto:tandemrestaurant@gmail.com,Website,"586, rue Villeray coin St-Gerard, Montreal, Quebec H2R 1H6 Canada","#2 of 4,030 Restaurants in Montreal",5.0,433
2,Bistro L'entrepont,http://www.tripadvisor.ca/Restaurant_Review-g155032-d705769-Reviews-Bistro_L_entrepont-Montreal_Quebec.html,+1 514-845-1369,mailto:shaynesingh27@gmail.com,Website,"4622 Av De L'hotel-De-Ville, Montreal, Quebec H2T 2B1 Canada","#3 of 4,030 Restaurants in Montreal",4.5,307
3,Bistro 1843,http://www.tripadvisor.ca/Restaurant_Review-g155032-d2394669-Reviews-Bistro_1843-Montreal_Quebec.html,+1 514-305-1229,,Website,"376 Cherrier Rue L'Île-Bizard, Montreal, Quebec H9C 1E7 Canada","#4 of 4,030 Restaurants in Montreal",5.0,253
4,Damas Restaurant,http://www.tripadvisor.ca/Restaurant_Review-g155032-d2442468-Reviews-Damas_Restaurant-Montreal_Quebec.html,+1 514-439-5435,mailto:info@restaurant-damas.com,Website,"1201 Avenue Van Horne, Montreal, Quebec H2V 1K4 Canada","#5 of 4,030 Restaurants in Montreal",4.5,"1,525"
5,Saint-Houblon Quartier Latin,http://www.tripadvisor.ca/Restaurant_Review-g155032-d7345858-Reviews-Saint_Houblon_Quartier_Latin-Montreal_Quebec.html,+1 438-386-7271,mailto:info@sainthoublon.com,Website,"1567 Rue Saint-Denis, Montreal, Quebec H2X 3K3 Canada","#6 of 4,030 Restaurants in Montreal",4.5,436
6,Bar a tapas Sorocco,http://www.tripadvisor.ca/Restaurant_Review-g155032-d8806139-Reviews-Bar_a_tapas_Sorocco-Montreal_Quebec.html,+1 438-386-4621,mailto:tapassorocco@gmail.com,Website,"4621 Rue St-Denis Plateau Mont Royal, Montreal, Quebec H2J 2L4 Canada","#7 of 4,030 Restaurants in Montreal",4.5,275
7,La Campagnola Italian steakhouse,http://www.tripadvisor.ca/Restaurant_Review-g155032-d792951-Reviews-La_Campagnola_Italian_steakhouse-Montreal_Quebec.html,+1 514-363-4066,mailto:Lacampagnolamontreal@gmail.com,Website,"Av. Dollard 1708-1714, Montreal, Quebec H8N 1T8 Canada","#8 of 4,030 Restaurants in Montreal",4.5,337
8,Fenetre Sur Kaboul,http://www.tripadvisor.ca/Restaurant_Review-g155032-d6582018-Reviews-Fenetre_Sur_Kaboul-Montreal_Quebec.html,+1 514-522-6851,,Website,"901 Rue Rachel Est, Montreal, Quebec H2J 2J2 Canada","#9 of 4,030 Restaurants in Montreal",4.5,272
9,Espace Cafe & Espresso Bar,http://www.tripadvisor.ca/Restaurant_Review-g155032-d1883527-Reviews-Espace_Cafe_Espresso_Bar-Montreal_Quebec.html,+1 514-284-8998,mailto:info@espacecafe.ca,Website,"210 Notre Dame West, Montreal, Quebec H2Y 1T3 Canada",#2 of 182 Coffee & Tea in Montreal,4.5,426
10,Restaurant Chasse Galerie,http://www.tripadvisor.ca/Restaurant_Review-g155032-d11434868-Reviews-Restaurant_Chasse_Galerie-Montreal_Quebec.html,+1 514-419-9601,mailto:info@lechassegalerie.com,Website,"4110 Rue Saint Denis, Montreal, Quebec H2W 2M5 Canada","#11 of 4,030 Restaurants in Montreal",4.5,435
11,Saint Sushi Plateau,http://www.tripadvisor.ca/Restaurant_Review-g155032-d4850006-Reviews-Saint_Sushi_Plateau-Montreal_Quebec.html,+1 514-507-7537,,Website,"424 Duluth Ave E, Montreal, Quebec H2L 1A3 Canada","#12 of 4,030 Restaurants in Montreal",4.5,314
